ZIP Code,City,State,Latitude,Longitude,Timezone,Daylight savings time flag,geopoint,id
92084,Vista,CA,33.213309,-117.21474,-8,1,"33.213309,-117.21474",2053
92093,La Jolla,CA,33.016928,-116.846046,-8,1,"33.016928,-116.846046",2053
92096,San Marcos,CA,33.016928,-116.846046,-8,1,"33.016928,-116.846046",2053
92101,San Diego,CA,32.719601,-117.16246,-8,1,"32.719601,-117.16246",2053
92103,San Diego,CA,32.746018,-117.16715,-8,1,"32.746018,-117.16715",2053
92104,San Diego,CA,32.742892,-117.12774,-8,1,"32.742892,-117.12774",2053
92106,San Diego,CA,32.7259,-117.23079,-8,1,"32.7259,-117.23079",2053
92109,San Diego,CA,32.791246,-117.24343,-8,1,"32.791246,-117.24343",2053
92110,San Diego,CA,32.766482,-117.20077,-8,1,"32.766482,-117.20077",2053
92115,San Diego,CA,32.7603,-117.07031,-8,1,"32.7603,-117.07031",2053
92116,San Diego,CA,32.76235,-117.12246,-8,1,"32.76235,-117.12246",2053
92120,San Diego,CA,32.794449,-117.07221,-8,1,"32.794449,-117.07221",2053
92121,San Diego,CA,32.899996,-117.20722,-8,1,"32.899996,-117.20722",2053
92122,San Diego,CA,32.856447,-117.21143,-8,1,"32.856447,-117.21143",2053
92123,San Diego,CA,32.803799,-117.13595,-8,1,"32.803799,-117.13595",2053
92124,San Diego,CA,32.822815,-117.09844,-8,1,"32.822815,-117.09844",2053
92126,San Diego,CA,32.914346,-117.14116,-8,1,"32.914346,-117.14116",2053
92129,San Diego,CA,32.961014,-117.1251,-8,1,"32.961014,-117.1251",2053
92130,San Diego,CA,32.946776,-117.21918,-8,1,"32.946776,-117.21918",2053
92131,San Diego,CA,32.918035,-117.08438,-8,1,"32.918035,-117.08438",2053
92152,San Diego,CA,33.016928,-116.846046,-8,1,"33.016928,-116.846046",2053
92154,San Diego,CA,32.574398,-117.05633,-8,1,"32.574398,-117.05633",2053
92161,San Diego,CA,32.871846,-117.229119,-8,1,"32.871846,-117.229119",2053
92173,San Ysidro,CA,32.556264,-117.05057,-8,1,"32.556264,-117.05057",2053
92177,San Diego,CA,33.016928,-116.846046,-8,1,"33.016928,-116.846046",2053
92182,San Diego,CA,32.775088,-117.076176,-8,1,"32.775088,-117.076176",2053
92192,San Diego,CA,33.016928,-116.846046,-8,1,"33.016928,-116.846046",2053
92220,Banning,CA,33.920803,-116.87897,-8,1,"33.920803,-116.87897",333
92251,Imperial,CA,32.853471,-115.58942,-8,1,"32.853471,-115.58942",1115
92325,Crestline,CA,34.242567,-117.28654,-8,1,"34.242567,-117.28654",867
92333,Fawnskin,CA,34.268344,-116.93842,-8,1,"34.268344,-116.93842",867
92346,Highland,CA,34.12716,-117.20073,-8,1,"34.12716,-117.20073",867
92350,Loma Linda,CA,34.839964,-115.967051,-8,1,"34.839964,-115.967051",867
92354,Loma Linda,CA,34.050764,-117.25327,-8,1,"34.050764,-117.25327",867
92373,Redlands,CA,34.034714,-117.17305,-8,1,"34.034714,-117.17305",867
92374,Redlands,CA,34.063264,-117.16888,-8,1,"34.063264,-117.16888",867
92399,Yucaipa,CA,34.033564,-117.03776,-8,1,"34.033564,-117.03776",867
92407,San Bernardino,CA,34.198189,-117.35826,-8,1,"34.198189,-117.35826",867
92507,Riverside,CA,33.978965,-117.33646,-8,1,"33.978965,-117.33646",333
92518,March Air Force Base,CA,33.891084,-117.2726,-8,1,"33.891084,-117.2726",333
92521,Riverside,CA,33.752886,-116.055617,-8,1,"33.752886,-116.055617",333
92606,Irvine,CA,33.695576,-117.80588,-8,1,"33.695576,-117.80588",2956
92612,Irvine,CA,33.650813,-117.81771,-8,1,"33.650813,-117.81771",2956
92614,Irvine,CA,33.680408,-117.82592,-8,1,"33.680408,-117.82592",2956
92624,Capistrano Beach,CA,33.460727,-117.66467,-8,1,"33.460727,-117.66467",2956
92626,Costa Mesa,CA,33.677224,-117.90863,-8,1,"33.677224,-117.90863",2956
92630,Lake Forest,CA,33.640223,-117.69108,-8,1,"33.640223,-117.69108",2956
92634,Santa Ana,CA,33.74875,-117.90942,-8,1,"33.74875,-117.90942",2956
92646,Huntington Beach,CA,33.666269,-117.9693,-8,1,"33.666269,-117.9693",2956
92647,Huntington Beach,CA,33.725167,-118.00509,-8,1,"33.725167,-118.00509",2956
92648,Huntington Beach,CA,33.673468,-118.00243,-8,1,"33.673468,-118.00243",2956
92653,Laguna Hills,CA,33.602823,-117.71295,-8,1,"33.602823,-117.71295",2956
92660,Newport Beach,CA,33.634821,-117.87453,-8,1,"33.634821,-117.87453",2956
92661,Newport Beach,CA,33.601822,-117.89966,-8,1,"33.601822,-117.89966",2956
92672,San Clemente,CA,33.427078,-117.61401,-8,1,"33.427078,-117.61401",2956
92673,San Clemente,CA,33.462927,-117.62414,-8,1,"33.462927,-117.62414",2956
92675,San Juan Capistrano,CA,33.500843,-117.65866,-8,1,"33.500843,-117.65866",2956
92677,Laguna Niguel,CA,33.531938,-117.7025,-8,1,"33.531938,-117.7025",2956
92691,Mission Viejo,CA,33.611272,-117.66681,-8,1,"33.611272,-117.66681",2956
92692,Mission Viejo,CA,33.615462,-117.64093,-8,1,"33.615462,-117.64093",2956
92694,Ladera Ranch,CA,33.570763,-117.63463,-8,1,"33.570763,-117.63463",2956
92697,Irvine,CA,33.640302,-117.769442,-8,1,"33.640302,-117.769442",2956
92703,Santa Ana,CA,33.747067,-117.90433,-8,1,"33.747067,-117.90433",2956
92704,Santa Ana,CA,33.724167,-117.90623,-8,1,"33.724167,-117.90623",2956
92705,Santa Ana,CA,33.762117,-117.81828,-8,1,"33.762117,-117.81828",2956
92709,Irvine,CA,33.640302,-117.769442,-8,1,"33.640302,-117.769442",2956
92735,Santa Ana,CA,33.640302,-117.769442,-8,1,"33.640302,-117.769442",2956
92780,Tustin,CA,33.741651,-117.82127,-8,1,"33.741651,-117.82127",2956
92806,Anaheim,CA,33.835465,-117.87362,-8,1,"33.835465,-117.87362",2956
92807,Anaheim,CA,33.850515,-117.79113,-8,1,"33.850515,-117.79113",2956
92821,Brea,CA,33.923463,-117.89559,-8,1,"33.923463,-117.89559",2956
92831,Fullerton,CA,33.878981,-117.89325,-8,1,"33.878981,-117.89325",2956
92833,Fullerton,CA,33.874314,-117.9637,-8,1,"33.874314,-117.9637",2956
92834,Fullerton,CA,33.640302,-117.769442,-8,1,"33.640302,-117.769442",2956
92835,Fullerton,CA,33.903164,-117.91224,-8,1,"33.903164,-117.91224",2956
